date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:44:26	93636/93636	---M--	200	added ('OK')	application/javascript	date:Sat,%2023%20Sep%202017%2004:55:25%20GMT	http://localhost:8000/static/mezzanine/js/jquery-1.8.3.min.js	/home/utsargo/websites/locosbd/localhost_8000/static/mezzanine/js/jquery-1.8.3.min.js	(from http://localhost:8000/)
11:44:26	9496/9496	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b2c0809fde551fe3c2e08d0efbfa633c%22	https://use.fontawesome.com/d292af0a66.js	/home/utsargo/websites/locosbd/use.fontawesome.com/d292af0a66.js	(from http://localhost:8000/)
11:44:30	34278/34278	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Mar%202017%2009:37:44%20GMT	http://localhost:8000/static/img/Logo.jpg	/home/utsargo/websites/locosbd/localhost_8000/static/img/Logo.jpg	(from http://localhost:8000/)
11:44:31	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Oct%202017%2005:44:31%20GMT	http://localhost:8000/about-us	/home/utsargo/websites/locosbd/localhost_8000/about-us.10.delayed	(from http://localhost:8000/)
11:44:31	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Oct%202017%2005:44:31%20GMT	http://localhost:8000/contact-us	/home/utsargo/websites/locosbd/localhost_8000/contact-us.11.delayed	(from http://localhost:8000/)
11:44:31	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2006%20Oct%202017%2005:44:31%20GMT	http://localhost:8000/developer	/home/utsargo/websites/locosbd/localhost_8000/developer.12.delayed	(from http://localhost:8000/)
11:44:39	5290/5290	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2257e2870b-14aa%22	https://www.djangoproject.com/s/img/logo-django.42234b631760.svg	/home/utsargo/websites/locosbd/www.djangoproject.com/s/img/logo-django.42234b631760.svg	(from http://localhost:8000/)
11:44:40	8097/8097	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/jquery.easing.1.3.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/jquery.easing.1.3.js	(from http://localhost:8000/)
11:44:44	22714/22714	---M--	200	added ('OK')	application/javascript	date:Sun,%2023%20Jul%202017%2006:51:34%20GMT	http://localhost:8000/static/js/jquery.fancybox.pack.js	/home/utsargo/websites/locosbd/localhost_8000/static/js/jquery.fancybox.pack.js	(from http://localhost:8000/)
11:44:46	7909/-1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2005:44:44%20GMT	http://localhost:8000/about-us/	/home/utsargo/websites/locosbd/localhost_8000/about-us/index.html	(from http://localhost:8000/)
